case_id,variant,injection_depth,injection_duration_min,injection_period_d,injection_flux_scale,injection_cadences,recovered_depth,depth_retention_frac
tic1884514391_s0056_o120_c4-2_Primary,divisive,0.1,10.0,1.40793903,4268.19529567871,30,-0.08612775394124977,-0.8612775394124977
tic1884514391_s0056_o120_c4-2_Primary,sub_median,0.1,10.0,1.40793903,4268.19529567871,30,-0.12019387132928316,-1.2019387132928316
tic1884514391_s0056_o120_c4-2_Primary,sub_median_abs,0.1,10.0,1.40793903,4268.19529567871,30,0.12019387132928327,1.2019387132928327
tic1884514391_s0056_o120_c4-2_Primary,sub_auto,0.1,10.0,1.40793903,4268.19529567871,30,0.09784421044526082,0.9784421044526082
tic1981551646_s0056_o120_c4-2_Primary,divisive,0.1,10.0,1.40793903,17087.947542226717,30,-0.08357867813972836,-0.8357867813972836
tic1981551646_s0056_o120_c4-2_Primary,sub_median,0.1,10.0,1.40793903,17087.947542226717,30,-0.13719047678804042,-1.3719047678804042
tic1981551646_s0056_o120_c4-2_Primary,sub_median_abs,0.1,10.0,1.40793903,17087.947542226717,30,0.13719047678804058,1.3719047678804057
tic1981551646_s0056_o120_c4-2_Primary,sub_auto,0.1,10.0,1.40793903,17087.947542226717,30,0.09795701055010175,0.9795701055010175
tic1981662747_s0056_o120_c4-2_Primary,divisive,0.1,10.0,1.40793903,16873.439906752166,30,-0.07710596136016655,-0.7710596136016654
tic1981662747_s0056_o120_c4-2_Primary,sub_median,0.1,10.0,1.40793903,16873.439906752166,30,-0.12747539814585296,-1.2747539814585296
tic1981662747_s0056_o120_c4-2_Primary,sub_median_abs,0.1,10.0,1.40793903,16873.439906752166,30,0.12747539814585312,1.2747539814585311
tic1981662747_s0056_o120_c4-2_Primary,sub_auto,0.1,10.0,1.40793903,16873.439906752166,30,0.09791292077823238,0.9791292077823238
tic2014550155_s0056_o120_c3-2_Primary,divisive,0.1,10.0,1.40793903,7713.796334213594,30,-0.07953826115838386,-0.7953826115838386
tic2014550155_s0056_o120_c3-2_Primary,sub_median,0.1,10.0,1.40793903,7713.796334213594,30,-0.18460642282955575,-1.8460642282955575
tic2014550155_s0056_o120_c3-2_Primary,sub_median_abs,0.1,10.0,1.40793903,7713.796334213594,30,0.18460642282955547,1.8460642282955546
tic2014550155_s0056_o120_c3-2_Primary,sub_auto,0.1,10.0,1.40793903,7713.796334213594,30,0.09800204306365823,0.9800204306365823
tic2041357363_s0056_o120_c2-4_Primary,divisive,0.1,10.0,1.40793903,12925.067463872449,30,-0.09311343022909346,-0.9311343022909346
tic2041357363_s0056_o120_c2-4_Primary,sub_median,0.1,10.0,1.40793903,12925.067463872449,30,-0.19466117011272477,-1.9466117011272477
tic2041357363_s0056_o120_c2-4_Primary,sub_median_abs,0.1,10.0,1.40793903,12925.067463872449,30,0.19466117011272493,1.9466117011272492
tic2041357363_s0056_o120_c2-4_Primary,sub_auto,0.1,10.0,1.40793903,12925.067463872449,30,0.09785841818803581,0.9785841818803581
tic2053290277_s0056_o120_c1-4_Primary,divisive,0.1,10.0,1.40793903,2460.9825774131928,30,-0.08636541264153613,-0.8636541264153613
tic2053290277_s0056_o120_c1-4_Primary,sub_median,0.1,10.0,1.40793903,2460.9825774131928,30,-0.12938306649577447,-1.2938306649577447
