case_id,variant,injection_depth,injection_duration_min,injection_period_d,injection_flux_scale,injection_cadences,recovered_depth,depth_retention_frac
tic1884514391_s0056_o120_c4-2_Primary,divisive,0.03,30.0,1.40793903,4268.19529567871,90,-0.024649451099439945,-0.8216483699813315
tic1884514391_s0056_o120_c4-2_Primary,sub_median,0.03,30.0,1.40793903,4268.19529567871,90,-0.03450730592912876,-1.1502435309709589
tic1884514391_s0056_o120_c4-2_Primary,sub_median_abs,0.03,30.0,1.40793903,4268.19529567871,90,0.03450730592912876,1.1502435309709589
tic1884514391_s0056_o120_c4-2_Primary,sub_auto,0.03,30.0,1.40793903,4268.19529567871,90,0.0281061697892957,0.9368723263098566
tic1884514391_s0056_o120_c4-2_Small,divisive,0.03,30.0,1.40793903,396.34060615104295,90,-0.04363264615309844,-1.4544215384366148
tic1884514391_s0056_o120_c4-2_Small,sub_median,0.03,30.0,1.40793903,396.34060615104295,90,-0.2925799670912618,-9.752665569708727
tic1884514391_s0056_o120_c4-2_Small,sub_median_abs,0.03,30.0,1.40793903,396.34060615104295,90,0.2925799670912616,9.75266556970872
tic1884514391_s0056_o120_c4-2_Small,sub_auto,0.03,30.0,1.40793903,396.34060615104295,90,0.027663125332756444,0.9221041777585481
tic1884514391_s0056_o120_c4-2_Large,divisive,0.03,30.0,1.40793903,13087.489308102025,90,-0.025116445572940682,-0.8372148524313561
tic1884514391_s0056_o120_c4-2_Large,sub_median,0.03,30.0,1.40793903,13087.489308102025,90,-0.033041533242279764,-1.1013844414093255
tic1884514391_s0056_o120_c4-2_Large,sub_median_abs,0.03,30.0,1.40793903,13087.489308102025,90,0.03304153324227971,1.1013844414093237
tic1884514391_s0056_o120_c4-2_Large,sub_auto,0.03,30.0,1.40793903,13087.489308102025,90,0.02810247340059646,0.9367491133532154
tic1981551646_s0056_o120_c4-2_Primary,divisive,0.03,30.0,1.40793903,17087.947542226717,90,-0.023726890633142872,-0.7908963544380958
tic1981551646_s0056_o120_c4-2_Primary,sub_median,0.03,30.0,1.40793903,17087.947542226717,90,-0.03943874262821184,-1.3146247542737282
tic1981551646_s0056_o120_c4-2_Primary,sub_median_abs,0.03,30.0,1.40793903,17087.947542226717,90,0.03943874262821173,1.3146247542737244
tic1981551646_s0056_o120_c4-2_Primary,sub_auto,0.03,30.0,1.40793903,17087.947542226717,90,0.028173319256964535,0.9391106418988179
tic1981551646_s0056_o120_c4-2_Small,divisive,0.03,30.0,1.40793903,1348.1679086420677,90,-0.01928360358021114,-0.642786786007038
tic1981551646_s0056_o120_c4-2_Small,sub_median,0.03,30.0,1.40793903,1348.1679086420677,90,-0.055853016612343154,-1.8617672204114386
tic1981551646_s0056_o120_c4-2_Small,sub_median_abs,0.03,30.0,1.40793903,1348.1679086420677,90,0.055853016612343154,1.8617672204114386
tic1981551646_s0056_o120_c4-2_Small,sub_auto,0.03,30.0,1.40793903,1348.1679086420677,90,0.027400400341326903,0.9133466780442301
tic1981551646_s0056_o120_c4-2_Large,divisive,0.03,30.0,1.40793903,57980.02550641648,90,-0.024102521990482684,-0.8034173996827562
tic1981551646_s0056_o120_c4-2_Large,sub_median,0.03,30.0,1.40793903,57980.02550641648,90,-0.03836427602516618,-1.2788092008388727
tic1981551646_s0056_o120_c4-2_Large,sub_median_abs,0.03,30.0,1.40793903,57980.02550641648,90,0.03836427602516618,1.2788092008388727
tic1981551646_s0056_o120_c4-2_Large,sub_auto,0.03,30.0,1.40793903,57980.02550641648,90,0.028178363619753566,0.9392787873251189
tic1981662747_s0056_o120_c4-2_Primary,divisive,0.03,30.0,1.40793903,16873.439906752166,90,-0.022758627758587058,-0.7586209252862353
tic1981662747_s0056_o120_c4-2_Primary,sub_median,0.03,30.0,1.40793903,16873.439906752166,90,-0.036637806652669025,-1.2212602217556343
tic1981662747_s0056_o120_c4-2_Primary,sub_median_abs,0.03,30.0,1.40793903,16873.439906752166,90,0.0366378066526693,1.2212602217556434
tic1981662747_s0056_o120_c4-2_Primary,sub_auto,0.03,30.0,1.40793903,16873.439906752166,90,0.02815375353857319,0.938458451285773
tic1981662747_s0056_o120_c4-2_Small,divisive,0.03,30.0,1.40793903,1642.5017683497417,90,-0.022299535844288343,-0.7433178614762781
tic1981662747_s0056_o120_c4-2_Small,sub_median,0.03,30.0,1.40793903,1642.5017683497417,90,-0.0382790369394701,-1.2759678979823368
tic1981662747_s0056_o120_c4-2_Small,sub_median_abs,0.03,30.0,1.40793903,1642.5017683497417,90,0.0382790369394701,1.2759678979823368
tic1981662747_s0056_o120_c4-2_Small,sub_auto,0.03,30.0,1.40793903,1642.5017683497417,90,0.028117142225290548,0.9372380741763516
