case_id,tic,sector,orbit,cam,ccd,tmag,aperture,variant,output_mode,scale_strategy,scale,scale_source,fit_count,n_cadence,n_raw_finite,n_quality0,n_det_finite,n_det_finite_quality0,raw_negative,raw_negative_quality0,raw_negative_flagged,raw_negative_quality0_retained,raw_negative_quality0_retained_frac,det_median_quality0,det_mad_quality0,det_rms_quality0,det_p05_quality0,det_p95_quality0,failed,failure_reason,path,raw_flux_source
tic1884514391_s0056_o120_c4-2_Primary,1884514391,56,120,4,2,19.78291630690647,Primary,divisive,divisive,auto,,local_cotrend,6137,6137,6137,6137,6137,6137,4159,4159,0,4159,1.0,0.9988740805571761,0.2029874586239431,5.5781272517720435,0.4582348873590584,1.6316225344099042,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Primary,1884514391,56,120,4,2,19.78291630690647,Primary,sub_median,subtractive,median,-3474.717977231537,median,6137,6137,6137,6137,6137,6137,4159,4159,0,4159,1.0,0.9971083243773018,0.16379264920172443,0.35582592049309814,0.7038575478029651,1.2759022927162988,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Primary,1884514391,56,120,4,2,19.78291630690647,Primary,sub_median_abs,subtractive,median_abs,3474.717977231537,median_abs,6137,6137,6137,6137,6137,6137,4159,4159,0,4159,1.0,1.0028916756226982,0.16379264920172443,0.35582592049309814,0.7240977072837013,1.296142452197035,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Primary,1884514391,56,120,4,2,19.78291630690647,Primary,sub_auto,subtractive,auto,4268.19529567871,auto_robust_abs,6137,6137,6137,6137,6137,6137,4159,4159,0,4159,1.0,1.0023540997012683,0.1333428353889581,0.2896762301280128,0.7753892242392636,1.2410881956390984,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Small,1884514391,56,120,4,2,19.78291630690647,Small,divisive,divisive,auto,,local_cotrend,6137,6137,6137,6137,6137,6137,3291,3291,0,3291,1.0,0.9991486200122801,0.5850379513317999,125.21729576864944,-0.8093273724479358,2.728229445816776,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Small,1884514391,56,120,4,2,19.78291630690647,Small,sub_median,subtractive,median,-37.87466042504002,median,6137,6137,6137,6137,6137,6137,3291,3291,0,3291,1.0,0.9792506677924473,4.080200052074942,4.909216917590133,-6.154000815328295,7.7687711444076175,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Small,1884514391,56,120,4,2,19.78291630690647,Small,sub_median_abs,subtractive,median_abs,37.87466042504002,median_abs,6137,6137,6137,6137,6137,6137,3291,3291,0,3291,1.0,1.0207493322075527,4.080200052074942,4.909216917590133,-5.768771144407618,8.154000815328294,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Small,1884514391,56,120,4,2,19.78291630690647,Small,sub_auto,subtractive,auto,402.3759529958898,auto_robust_abs,6137,6137,6137,6137,6137,6137,3291,3291,0,3291,1.0,1.0019530836909019,0.38405921200799903,0.46209253391563193,0.3628721928323913,1.6733885301634472,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Large,1884514391,56,120,4,2,19.78291630690647,Large,divisive,divisive,auto,,local_cotrend,6137,6137,6137,6137,6137,6137,4218,4218,0,4218,1.0,0.9957749372893097,0.15867026364394476,4.644948600591606,0.4292462375493204,1.697350525823484,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Large,1884514391,56,120,4,2,19.78291630690647,Large,sub_median,subtractive,median,-11127.947199356382,median,6137,6137,6137,6137,6137,6137,4218,4218,0,4218,1.0,0.9969800824370755,0.10655267950557047,0.2809851394586566,0.8091590566104131,1.1985841980796792,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Large,1884514391,56,120,4,2,19.78291630690647,Large,sub_median_abs,subtractive,median_abs,11127.947199356382,median_abs,6137,6137,6137,6137,6137,6137,4218,4218,0,4218,1.0,1.0030199175629246,0.10655267950557047,0.28098513945865655,0.8014158019203206,1.1908409433895868,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
tic1884514391_s0056_o120_c4-2_Large,1884514391,56,120,4,2,19.78291630690647,Large,sub_auto,subtractive,auto,13087.489308102025,auto_robust_abs,6137,6137,6137,6137,6137,6137,4218,4218,0,4218,1.0,1.0025677563049338,0.09059893487392572,0.2389142578908569,0.8311490906442104,1.1622670239890849,False,,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5,raw
