config,bkspace_d,sigma_clip,case_id,tic,tmag,aperture,scale,scale_source,fit_count,n_quality0,n_det_finite_quality0,raw_negative_quality0,raw_negative_quality0_retained,det_mad_quality0,trend_mad_binned,trend_range_binned,trend_n_bins,failed,path
bk0.8_sig3,0.8,3.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.1585151102643935,0.04870745729537123,0.1681998987022827,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk0.8_sig5,0.8,5.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.16079148003368893,0.052179099896945455,0.21499720889887264,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk1.2_sig3,1.2,3.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.1767443652725821,0.08897516114156855,0.3003646123016107,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk1.2_sig5,1.2,5.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.17799397814401172,0.08411169311506375,0.3179943107110422,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk2_sig3,2.0,3.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.21616920192954284,0.11646446426433951,0.8842234860163909,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk2_sig5,2.0,5.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.20923678633959686,0.11420619098712709,0.5597126228523056,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk3_sig3,3.0,3.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.272482552224725,0.24796402683449914,0.6820411944795681,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk3_sig5,3.0,5.0,tic1884514391_s0056_o120_c4-2_Primary,1884514391,19.78291630690647,Primary,4268.19529567871,auto_robust_abs,6137,6137,6137,4159,4159,0.2732138115659671,0.2056526787348464,0.7062145535956367,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk0.8_sig3,0.8,3.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.3963767442315547,0.09942617069679201,0.24106461914239152,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk0.8_sig5,0.8,5.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.3997565425606693,0.10465177711889559,0.3141899753487608,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk1.2_sig3,1.2,3.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.40829537375186914,0.10462065392318827,0.49357984917839726,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk1.2_sig5,1.2,5.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.4117603290269553,0.11404237224771749,0.48523394695101585,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk2_sig3,2.0,3.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.4506841839924875,0.18820309708331168,0.7496140848942283,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk2_sig5,2.0,5.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.4518389459644487,0.17338440121537158,0.720686884087009,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk3_sig3,3.0,3.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.48672980558152845,0.2905856876722554,0.8626460766588862,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk3_sig5,3.0,5.0,tic1884514391_s0056_o120_c4-2_Small,1884514391,19.78291630690647,Small,402.3759529958898,auto_robust_abs,6137,6137,6137,3291,3291,0.4955833122521261,0.29480559866206785,0.9054409359191512,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk0.8_sig3,0.8,3.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.11371430091731519,0.05571651314539623,0.16833422602617343,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk0.8_sig5,0.8,5.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.11517783888767799,0.04971691974638773,0.19518675500341964,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk1.2_sig3,1.2,3.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.13516647252643235,0.06774983665950628,0.26862054110092504,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk1.2_sig5,1.2,5.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.1377369194036596,0.07540512942247621,0.28013721650956813,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk2_sig3,2.0,3.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.17343941792867001,0.11906404347651395,0.7980681742857998,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk2_sig5,2.0,5.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.16714564430889373,0.10165431958524315,0.5137971764387645,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk3_sig3,3.0,3.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.2272863755547733,0.20621513007248105,0.6223692713278205,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk3_sig5,3.0,5.0,tic1884514391_s0056_o120_c4-2_Large,1884514391,19.78291630690647,Large,13087.489308102025,auto_robust_abs,6137,6137,6137,4218,4218,0.22688700575375553,0.20411320522698598,0.6287956224001485,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1884514391.h5
bk0.8_sig3,0.8,3.0,tic1981551646_s0056_o120_c4-2_Primary,1981551646,19.793893158618413,Primary,17087.947542226717,auto_robust_abs,6137,6137,6137,4232,4232,0.11277367017217146,0.05856819893752346,0.21426753366188755,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1981551646.h5
bk0.8_sig5,0.8,5.0,tic1981551646_s0056_o120_c4-2_Primary,1981551646,19.793893158618413,Primary,17087.947542226717,auto_robust_abs,6137,6137,6137,4232,4232,0.131580272243559,0.07620825883910459,0.25229949225968673,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1981551646.h5
bk1.2_sig3,1.2,3.0,tic1981551646_s0056_o120_c4-2_Primary,1981551646,19.793893158618413,Primary,17087.947542226717,auto_robust_abs,6137,6137,6137,4232,4232,0.11697580671007944,0.06703329750116169,0.22923164114616845,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1981551646.h5
bk1.2_sig5,1.2,5.0,tic1981551646_s0056_o120_c4-2_Primary,1981551646,19.793893158618413,Primary,17087.947542226717,auto_robust_abs,6137,6137,6137,4232,4232,0.12541183230169523,0.08137185593698344,0.24035598525128266,29,False,data_local/stage1_lightcurves/detrend_experiments/s56_h5_sample/1981551646.h5
