case_id,tic,sector,orbit,cam,ccd,tmag,aperture,variant,output_mode,scale_strategy,scale,scale_source,fit_count,n_cadence,n_raw_finite,n_quality0,n_det_finite,n_det_finite_quality0,raw_negative,raw_negative_quality0,raw_negative_flagged,raw_negative_quality0_retained,raw_negative_quality0_retained_frac,det_median_quality0,det_mad_quality0,det_rms_quality0,det_p05_quality0,det_p95_quality0,failed,failure_reason,path,raw_flux_source
synthetic000_Primary,900000000,56,-1,-1,-1,23.252574989159953,Primary,divisive,divisive,auto,,local_cotrend,10853,11060,10997,10915,10997,10853,5477,5399,78,5399,1.0,1.0660214529690004,18.57933550001575,1087.9458625887369,-88.0097737464409,87.03206533236187,True,unstable_relative_mad,synthetic,synthetic
synthetic000_Primary,900000000,56,-1,-1,-1,23.252574989159953,Primary,sub_median,subtractive,median,0.3888545416768947,median,10853,11060,10997,10915,10997,10853,5477,5399,78,5399,1.0,0.13672657378938702,145.22059685637325,145.77775866318927,-240.30254403189397,243.88897616434883,True,unstable_relative_mad,synthetic,synthetic
synthetic000_Primary,900000000,56,-1,-1,-1,23.252574989159953,Primary,sub_median_abs,subtractive,median_abs,0.3888545416768947,median_abs,10853,11060,10997,10915,10997,10853,5477,5399,78,5399,1.0,0.13672657378938702,145.22059685637325,145.77775866318927,-240.30254403189397,243.88897616434883,True,unstable_relative_mad,synthetic,synthetic
synthetic000_Primary,900000000,56,-1,-1,-1,23.252574989159953,Primary,sub_auto,subtractive,auto,56.40494672610794,auto_robust_abs,10853,11060,10997,10915,10997,10853,5477,5399,78,5399,1.0,0.9940486107695304,1.0011478054723915,1.0049888674998295,-0.6635347715266856,2.674471601992331,False,,synthetic,synthetic
synthetic001_Primary,900000001,56,-1,-1,-1,22.152867401285803,Primary,divisive,divisive,auto,,local_cotrend,10859,11060,11010,10907,11010,10859,5433,5352,81,5352,1.0,0.9063479435565648,15.41520403662636,491.6343616207748,-55.84722695392334,61.871046652876025,True,unstable_relative_mad,synthetic,synthetic
synthetic001_Primary,900000001,56,-1,-1,-1,22.152867401285803,Primary,sub_median,subtractive,median,1.253878760309302,median,10859,11060,11010,10907,11010,10859,5433,5352,81,5352,1.0,1.1127587947710855,48.91474958302121,48.78985779754282,-79.33803582025725,81.54635740482249,True,unstable_relative_mad,synthetic,synthetic
synthetic001_Primary,900000001,56,-1,-1,-1,22.152867401285803,Primary,sub_median_abs,subtractive,median_abs,1.253878760309302,median_abs,10859,11060,11010,10907,11010,10859,5433,5352,81,5352,1.0,1.1127587947710855,48.91474958302121,48.78985779754282,-79.33803582025725,81.54635740482249,True,unstable_relative_mad,synthetic,synthetic
synthetic001_Primary,900000001,56,-1,-1,-1,22.152867401285803,Primary,sub_auto,subtractive,auto,61.34888319829774,auto_robust_abs,10859,11060,11010,10907,11010,10859,5433,5352,81,5352,1.0,1.0023046199120615,0.9997437992432828,0.9971911992775706,-0.6419884357859597,2.646246215171381,False,,synthetic,synthetic
synthetic002_Primary,900000002,56,-1,-1,-1,21.05315981341165,Primary,divisive,divisive,auto,,local_cotrend,10858,11060,11009,10908,11009,10858,5267,5180,87,5180,1.0,1.0781814497012692,12.473857949128258,12181.098172988965,-44.59608760351689,51.658219970172816,True,unstable_relative_mad,synthetic,synthetic
synthetic002_Primary,900000002,56,-1,-1,-1,21.05315981341165,Primary,sub_median,subtractive,median,2.9814008986816476,median,10858,11060,11009,10908,11009,10858,5267,5180,87,5180,1.0,0.8333201097074721,18.559852226664027,18.77316018451381,-29.483425936486718,32.19439775823854,True,unstable_relative_mad,synthetic,synthetic
synthetic002_Primary,900000002,56,-1,-1,-1,21.05315981341165,Primary,sub_median_abs,subtractive,median_abs,2.9814008986816476,median_abs,10858,11060,11009,10908,11009,10858,5267,5180,87,5180,1.0,0.8333201097074721,18.559852226664027,18.77316018451381,-29.483425936486718,32.19439775823854,True,unstable_relative_mad,synthetic,synthetic
