case_id,variant,injection_depth,injection_duration_min,injection_period_d,injection_flux_scale,injection_cadences,recovered_depth,depth_retention_frac
synthetic000_Primary,divisive,0.1,10.0,1.40793903,55.97695548139481,50,0.33698343149069776,3.3698343149069774
synthetic000_Primary,sub_median,0.1,10.0,1.40793903,55.97695548139481,50,15.255406372851663,152.5540637285166
synthetic000_Primary,sub_median_abs,0.1,10.0,1.40793903,55.97695548139481,50,15.255406372851663,152.5540637285166
synthetic000_Primary,sub_auto,0.1,10.0,1.40793903,55.97695548139481,50,0.09711134896329915,0.9711134896329915
synthetic000_Small,divisive,0.1,10.0,1.40793903,75.04296625068338,50,0.06949961299804411,0.694996129980441
synthetic000_Small,sub_median,0.1,10.0,1.40793903,75.04296625068338,50,8.082165987655092,80.82165987655091
synthetic000_Small,sub_median_abs,0.1,10.0,1.40793903,75.04296625068338,50,8.082165987655092,80.82165987655091
synthetic000_Small,sub_auto,0.1,10.0,1.40793903,75.04296625068338,50,0.09790310741949448,0.9790310741949448
synthetic000_Large,divisive,0.1,10.0,1.40793903,93.17787947139742,50,0.28117084275404025,2.8117084275404025
synthetic000_Large,sub_median,0.1,10.0,1.40793903,93.17787947139742,50,11.99463646483951,119.9463646483951
synthetic000_Large,sub_median_abs,0.1,10.0,1.40793903,93.17787947139742,50,11.99463646483951,119.9463646483951
synthetic000_Large,sub_auto,0.1,10.0,1.40793903,93.17787947139742,50,0.09743951024034336,0.9743951024034336
synthetic001_Primary,divisive,0.1,10.0,1.40793903,57.58083452736365,51,-1.1884297866429554,-11.884297866429554
synthetic001_Primary,sub_median,0.1,10.0,1.40793903,57.58083452736365,51,569.66295828959,5696.6295828959
synthetic001_Primary,sub_median_abs,0.1,10.0,1.40793903,57.58083452736365,51,569.66295828959,5696.6295828959
synthetic001_Primary,sub_auto,0.1,10.0,1.40793903,57.58083452736365,51,0.09707939856470449,0.9707939856470449
synthetic001_Small,divisive,0.1,10.0,1.40793903,76.21062058613171,51,-1.0730909153263593,-10.730909153263593
synthetic001_Small,sub_median,0.1,10.0,1.40793903,76.21062058613171,51,110.05332814483026,1100.5332814483024
synthetic001_Small,sub_median_abs,0.1,10.0,1.40793903,76.21062058613171,51,110.05332814483026,1100.5332814483024
synthetic001_Small,sub_auto,0.1,10.0,1.40793903,76.21062058613171,51,0.09665232745411534,0.9665232745411534
synthetic001_Large,divisive,0.1,10.0,1.40793903,95.44273677095413,51,-1.0206098179406446,-10.206098179406446
synthetic001_Large,sub_median,0.1,10.0,1.40793903,95.44273677095413,51,-10.373592891819678,-103.73592891819678
synthetic001_Large,sub_median_abs,0.1,10.0,1.40793903,95.44273677095413,51,10.373592891819678,103.73592891819678
synthetic001_Large,sub_auto,0.1,10.0,1.40793903,95.44273677095413,51,0.0971180662772193,0.9711806627721931
synthetic002_Primary,divisive,0.1,10.0,1.40793903,55.26387270720907,53,0.5227899997131689,5.227899997131688
synthetic002_Primary,sub_median,0.1,10.0,1.40793903,55.26387270720907,53,2.446968809571616,24.469688095716158
synthetic002_Primary,sub_median_abs,0.1,10.0,1.40793903,55.26387270720907,53,2.446968809571616,24.469688095716158
synthetic002_Primary,sub_auto,0.1,10.0,1.40793903,55.26387270720907,53,0.09601481363958131,0.9601481363958131
synthetic002_Small,divisive,0.1,10.0,1.40793903,73.61900870768388,53,0.4920777089639548,4.9207770896395475
