tier1_contract_version,tier1_config_name,tier1_scope,sector_tic_key,sector,tic,gaia_dr3_source_id,camera,ccd,detector,tmag,tier1_cadence_qa_status,tier1_scatter_qa_status,tier1_aperture_pair_qa_status,tier1_target_qa_status,tier1_target_qa_reasons,tier1_target_qa_pass,tier1_target_searchable,tier1_target_searchability_reasons,n_finite_quality0_min,usable_cadence_fraction_min
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000010549384,56,10549384,,2,4,cam2_ccd4,17.796201989737888,pass,pass,pass,pass,,True,True,,11051,0.9385138004246284
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000010592740,56,10592740,,2,4,cam2_ccd4,17.3241343873843,pass,pass,pass,pass,,True,True,,11051,0.9385138004246284
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000015300006,56,15300006,,2,3,cam2_ccd3,14.274748182459922,pass,pass,pass,pass,,True,True,,11015,0.9354564755838641
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000016601330,56,16601330,,2,3,cam2_ccd3,17.387103336218672,pass,pass,pass,pass,,True,True,,10792,0.9165180467091295
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000016783095,56,16783095,,2,3,cam2_ccd3,14.643758540319993,pass,pass,pass,pass,,True,True,,11308,0.960339702760085
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000017927232,56,17927232,,2,3,cam2_ccd3,17.94870380384736,pass,pass,pass,pass,,True,True,,11270,0.9571125265392781
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000018027726,56,18027726,,2,3,cam2_ccd3,17.169792502432657,pass,pass,pass,pass,,True,True,,11111,0.9436093418259023
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000018105506,56,18105506,,2,3,cam2_ccd3,15.474622566909083,pass,pass,pass,pass,,True,True,,10767,0.9143949044585987
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000020826196,56,20826196,,1,2,cam1_ccd2,15.083002231354756,pass,pass,pass,pass,,True,True,,9439,0.8016135881104034
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000026491429,56,26491429,,3,4,cam3_ccd4,15.079287142601027,pass,pass,pass,pass,,True,True,,11610,0.9859872611464968
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000026691554,56,26691554,,2,3,cam2_ccd3,14.921870289005623,pass,fail,pass,fail,scatter_absolute_high,False,True,,10786,0.9160084925690021
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000027534829,56,27534829,,3,4,cam3_ccd4,16.274938626698972,pass,pass,pass,pass,,True,True,,11582,0.9836093418259023
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000027684103,56,27684103,,2,3,cam2_ccd3,15.506648978016784,pass,pass,pass,pass,,True,True,,11188,0.9501486199575372
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000027685055,56,27685055,,3,4,cam3_ccd4,14.996068129930373,pass,pass,pass,pass,,True,True,,11466,0.9737579617834395
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000027685265,56,27685265,,3,4,cam3_ccd4,17.031316781186995,pass,pass,pass,pass,,True,True,,11467,0.9738428874734607
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000027688847,56,27688847,,3,4,cam3_ccd4,14.197077344582853,pass,pass,pass,pass,,True,True,,11374,0.9659447983014862
a2v1_tier1_science_qa_v4,a2v1_tier1_active_search_pair_v1,active_search_pair,s0056-tic0000000027766711,56,27766711,,3,4,cam3_ccd4,15.716832358193933,pass,review,pass,review,scatter_absolute_high,False,True,,11491,0.9758811040339703
