injection_id,tic,sector,camera,ccd,tessmag,aperture,apertures,signal_family,period_d,t0_d,t0_bjd,duration_min,depth,radius_rearth,radius_rwd,impact_b,a_over_rwd,inclination_deg,target_depth,geometric_depth,model_depth,sampled_model_depth,duration_model,injection_model,sampling_mode,grid_period_bin,grid_radius_bin,grid_depth_bin,grid_cell_id,period_bin_lo_d,period_bin_hi_d,radius_bin_lo_rearth,radius_bin_hi_rearth,depth_bin_lo,depth_bin_hi,baseline,n_cadences,n_quality_zero,n_in_transit,n_good_in_transit,split,label,label_source,source_export_h5,source_target_group,h5_group
inj_000000,1551207323,56,4,1,19.69752704797533,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.10308632680617863,2847.193604236917,2459847.193604237,2.0,0.06295196671438505,0.6812486449776827,0.48043329349591307,1.1432825959795752,60.0263100205883,88.9086580758658,0.06295196671438512,0.06295196671438505,0.008830072123615418,0.008829954495488623,wd_density_batman,batman_quadratic,period_depth_grid,0,,0,p00_d00,0.07999999999999999,0.13309916273040112,,,0.003,0.1022,1.0,11775,11598,159,157,train,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000000
inj_000001,1201130022,56,4,4,19.83361863717512,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.08240285260696957,2834.0733195003572,2459834.0733195003,2.0,0.16083565764871666,0.7914217362081083,0.5581300661275754,0.9315564218361239,51.70141560701392,88.96758842821512,0.1608356576487166,0.16083565764871666,0.02286313638790971,0.022863121627847316,wd_density_batman,batman_quadratic,period_depth_grid,0,,1,p00_d01,0.07999999999999999,0.13309916273040112,,,0.1022,0.2014,1.0,11775,10285,198,173,validation,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000001
inj_000002,2053125871,56,1,2,19.91546507990023,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.10987446659653201,2847.684932918967,2459847.6849329188,2.0,0.24749962280135523,1.6894033554851537,1.1914087816576402,1.4881599082487482,62.63332343201529,88.63853134655916,0.24749962280135537,0.24749962280135523,0.04916922322143891,0.049168416919077584,wd_density_batman,batman_quadratic,period_depth_grid,0,,2,p00_d02,0.07999999999999999,0.13309916273040112,,,0.2014,0.3006,1.0,11775,10339,149,133,train,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000002
inj_000003,2001770416,56,2,3,19.95532649407545,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.09492737433803157,2847.0761659525765,2459847.0761659527,2.4119177206717346,0.34441240161640513,8.150770211273198,5.748123546372183,5.968122771315784,56.815728890962816,83.97032746374926,0.34441240161641085,0.34441240161640513,0.12808147931889746,0.1280809813609124,wd_density_batman,batman_quadratic,period_depth_grid,0,,3,p00_d03,0.07999999999999999,0.13309916273040112,,,0.3006,0.3998,1.0,11775,11309,216,204,test,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000003
inj_000004,1961366096,56,2,2,17.97712475265355,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.08848279284416997,2847.2745714834723,2459847.2745714835,2.0,0.4333463347436697,1.6920796962409193,1.1932962029586425,1.1521886228932035,54.214253852433444,88.78222955879814,0.43334633474366946,0.4333463347436697,0.08848736819227287,0.08848715561436682,wd_density_batman,batman_quadratic,period_depth_grid,0,,4,p00_d04,0.07999999999999999,0.13309916273040112,,,0.3998,0.499,1.0,11775,10809,186,170,test,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000004
inj_000005,2017584888,56,3,2,19.10567167378406,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.12224258545106398,2833.014417990045,2459833.01441799,2.6561392514321764,0.5947655964451861,5.469452053135364,3.8571920588434914,3.6646411316668255,67.24953535935698,86.87622337620164,0.5947655964451863,0.5947655964451861,0.2397400802780657,0.23974000733110912,wd_density_batman,batman_quadratic,period_depth_grid,0,,5,p00_d05,0.07999999999999999,0.13309916273040112,,,0.499,0.5982,1.0,11775,11775,177,177,test,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000005
inj_000006,2040366644,56,2,4,19.46725287775452,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.11542683102252024,2828.155957799962,2459828.1559578,2.0,0.6950116304669759,1.5803226289490433,1.1144823714650924,0.6316216815822391,64.72600243694268,89.44087646963163,0.695011630466976,0.6950116304669759,0.15683014419164132,0.15683004981307713,wd_density_batman,batman_quadratic,period_depth_grid,0,,6,p00_d06,0.07999999999999999,0.13309916273040112,,,0.5982,0.6974,1.0,11775,11775,141,141,train,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000006
inj_000007,2053389938,56,1,4,19.24032531917902,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.09862195160211185,2848.694644869955,2459848.69464487,2.8115120023662485,0.7048598480606358,6.38796000515873,4.504946448883016,4.143148940815383,58.28050843177865,85.92341662141465,0.7048598480606351,0.7048598480606358,0.3067621548248256,0.306761897583551,wd_density_batman,batman_quadratic,period_depth_grid,0,,7,p00_d07,0.07999999999999999,0.13309916273040112,,,0.6974,0.7966,0.9999999701976776,11775,11036,233,218,validation,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000007
inj_000008,1201340120,56,4,3,19.41452657714861,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.1208154489387965,2846.0237107807416,2459846.023710781,2.0,0.8769996700338805,1.891578502089179,1.3339876656848855,0.598012902522213,66.72510280554108,89.48648900218417,0.8769996700338804,0.8769996700338805,0.22364865426128133,0.22364871526149155,wd_density_batman,batman_quadratic,period_depth_grid,0,,8,p00_d08,0.07999999999999999,0.13309916273040112,,,0.7966,0.8957999999999999,1.0000000298023224,11775,9660,134,111,validation,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000008
inj_000009,1884540906,56,4,2,19.61715499064117,DET_FLUX_SML,DET_FLUX_SML|DET_FLUX|DET_FLUX_LAG,wd_roche_edge,0.11746175376431056,2832.7575319478506,2459832.757531948,3.4995564109749897,0.9071142789429125,7.269729351706382,5.126791871092268,4.406884740990451,65.48451129574094,86.14127270459367,0.9071142789429127,0.9071142789429125,0.5044152137363438,0.5044094221704962,wd_density_batman,batman_quadratic,period_depth_grid,0,,9,p00_d09,0.07999999999999999,0.13309916273040112,,,0.8957999999999999,0.995,1.0,11775,11775,244,244,train,planet_like,injection,data_local/stage3_injections/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_pdo.h5,/targets/depth_bin_hi,/injections/inj_000009
