injection_id,tic,split,label,label_source,signal_family,period_d,t0_bjd,duration_min,depth,n_good_in_transit,h5_group
inj_000000,1551339430,train,planet_like,injection,wd1856_like,0.8155570477747811,2459840.4284776566,11.846408542154206,0.41230210606190015,121,/injections/inj_000000
inj_000001,1551567777,train,planet_like,injection,short_deep,0.21758830985102823,2459841.6774498406,13.312729900159187,0.1988576075471755,492,/injections/inj_000001
inj_000002,1551607272,train,planet_like,injection,roche_boundary,0.18369967463505024,2459827.0238495376,10.121830197014082,0.2657342415803349,450,/injections/inj_000002
inj_000003,1551229632,train,planet_like,injection,wd1856_like,2.1078044256829815,2459830.8002753085,11.866490157195525,0.22536317863612249,43,/injections/inj_000003
inj_000004,1551452893,train,planet_like,injection,short_deep,0.732862541996107,2459836.5025196453,8.585492120972578,0.2900794618362289,89,/injections/inj_000004
inj_000005,1551247882,validation,planet_like,injection,roche_boundary,0.20890852976023308,2459836.596873505,10.296745405357198,0.2209848863604204,387,/injections/inj_000005
inj_000006,1551412161,train,planet_like,injection,wd1856_like,2.069855883634781,2459836.509215196,10.567542857243671,0.4975651589029701,41,/injections/inj_000006
inj_000007,1551600953,train,planet_like,injection,short_deep,0.4742997561941458,2459841.268510799,19.523985538411846,0.07377355614700352,328,/injections/inj_000007
inj_000008,1551564040,test,planet_like,injection,roche_boundary,0.22533124832870596,2459840.8193968674,9.079579593364201,0.19561223312434728,321,/injections/inj_000008
inj_000009,1551614601,test,planet_like,injection,wd1856_like,1.2404137704019693,2459838.860585412,5.551719476840924,0.4530444945036628,38,/injections/inj_000009
inj_000010,1551324505,train,planet_like,injection,short_deep,0.6497844014165887,2459838.2396043357,13.236138110702445,0.32309794557928084,156,/injections/inj_000010
inj_000011,1551403978,train,planet_like,injection,roche_boundary,0.2548987698595999,2459830.871398031,13.87042916234602,0.11845913800394674,444,/injections/inj_000011
inj_000012,1271336033,train,planet_like,injection,wd1856_like,1.2594431635059555,2459839.4406603295,10.083346044227724,0.4107170204267741,61,/injections/inj_000012
inj_000013,1551499757,train,planet_like,injection,short_deep,0.9833791361987035,2459848.518893482,18.414750179434904,0.2783181004077291,143,/injections/inj_000013
inj_000014,1551416263,test,planet_like,injection,roche_boundary,0.31431768629587153,2459838.8747372916,14.218186540565235,0.18829899309338735,372,/injections/inj_000014
inj_000015,1551415980,validation,planet_like,injection,wd1856_like,2.4767113426089287,2459830.5628530113,9.927195843887638,0.2843707245984931,35,/injections/inj_000015
inj_000016,1551319757,train,planet_like,injection,short_deep,0.27636576157357257,2459848.8979755556,19.455075656739197,0.30119707378557425,578,/injections/inj_000016
inj_000017,1551235898,train,planet_like,injection,roche_boundary,0.22157560799940645,2459850.853477223,7.27845310827615,0.020513892162527893,262,/injections/inj_000017
inj_000018,1551649922,validation,planet_like,injection,wd1856_like,1.2620967134741938,2459844.010396422,10.16277764019162,0.12693808444495103,66,/injections/inj_000018
inj_000019,1551622574,test,planet_like,injection,short_deep,0.6429403441882373,2459832.3669767114,6.288005954302695,0.2528359278683842,74,/injections/inj_000019
inj_000020,1551316193,train,planet_like,injection,roche_boundary,0.2796797441693685,2459826.923662137,8.297204189822812,0.13388375518345072,241,/injections/inj_000020
inj_000021,1551308147,train,planet_like,injection,wd1856_like,2.436816189134945,2459829.460291021,8.780826328700678,0.4807979131415024,26,/injections/inj_000021
inj_000022,1271336033,train,planet_like,injection,short_deep,0.23415922058386485,2459839.8013684433,12.027034186090729,0.08800393573778215,402,/injections/inj_000022
inj_000023,1551506055,train,planet_like,injection,roche_boundary,0.20528584661406832,2459843.9622115386,11.140207699345089,0.23405735152105597,435,/injections/inj_000023
inj_000024,1201236990,train,planet_like,injection,wd1856_like,1.2033596141439817,2459840.2886158517,11.824820093550022,0.14535925248998394,67,/injections/inj_000024
inj_000025,1551635913,train,planet_like,injection,short_deep,0.12381389581341574,2459851.427780136,18.5104488072963,0.09744115350212017,1207,/injections/inj_000025
inj_000026,1551604913,train,planet_like,injection,roche_boundary,0.28076203821980533,2459850.834485839,14.492334288439395,0.1610522873615579,426,/injections/inj_000026
inj_000027,1551437266,train,planet_like,injection,wd1856_like,1.5389579680553214,2459841.4847521647,7.862402841584021,0.3296427007763814,42,/injections/inj_000027
inj_000028,1551667521,test,planet_like,injection,short_deep,0.5580098834627929,2459837.0091751995,5.578362868712786,0.40725103519751504,80,/injections/inj_000028
inj_000029,1551753732,test,planet_like,injection,roche_boundary,0.32578234488101926,2459835.925319711,11.242098163007828,0.18749086463717088,281,/injections/inj_000029
inj_000030,1201290855,train,planet_like,injection,wd1856_like,0.8422102024995917,2459833.001434976,7.255516727037285,0.2998335585417822,63,/injections/inj_000030
