injection_id,tic,sector,camera,ccd,tessmag,aperture,signal_family,period_d,t0_d,t0_bjd,duration_min,depth,baseline,n_cadences,n_quality_zero,n_in_transit,n_good_in_transit,split,label,label_source,source_export_h5,source_target_group,h5_group
inj_000000,1551339430,56,4,1,19.44279454606417,DET_FLUX,wd1856_like,0.8155570477747811,2840.4284776564564,2459840.4284776566,11.846408542154206,0.41230210606190015,1.0,11775,11775,121,121,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551339430,/injections/inj_000000
inj_000001,1551567777,56,4,1,19.25477512867673,DET_FLUX,short_deep,0.21758830985102823,2841.6774498404325,2459841.6774498406,13.312729900159187,0.1988576075471755,1.0,11775,11615,500,492,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551567777,/injections/inj_000001
inj_000002,1551607272,56,4,2,19.84698581257371,DET_FLUX,roche_boundary,0.18369967463505024,2827.023849537413,2459827.0238495376,10.121830197014082,0.2657342415803349,1.0,11775,11713,453,450,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551607272,/injections/inj_000002
inj_000003,1551229632,56,4,1,19.71665836483606,DET_FLUX,wd1856_like,2.1078044256829815,2830.800275308635,2459830.8002753085,11.866490157195525,0.22536317863612249,1.0,11775,11503,47,43,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551229632,/injections/inj_000003
inj_000004,1551452893,56,4,1,19.89689895993562,DET_FLUX,short_deep,0.732862541996107,2836.5025196452543,2459836.5025196453,8.585492120972578,0.2900794618362289,1.0000000298023224,11775,11626,92,89,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551452893,/injections/inj_000004
inj_000005,1551247882,56,4,1,19.30892771576314,DET_FLUX,roche_boundary,0.20890852976023308,2836.5968735048164,2459836.596873505,10.296745405357198,0.2209848863604204,1.0,11775,11623,393,387,validation,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551247882,/injections/inj_000005
inj_000006,1551412161,56,4,1,19.46518440383569,DET_FLUX,wd1856_like,2.069855883634781,2836.5092151960293,2459836.509215196,10.567542857243671,0.4975651589029701,1.0000000298023224,11775,11746,41,41,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551412161,/injections/inj_000006
inj_000007,1551600953,56,4,2,19.97925499515063,DET_FLUX,short_deep,0.4742997561941458,2841.26851079909,2459841.268510799,19.523985538411846,0.07377355614700352,1.0000000298023224,11775,11656,333,328,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551600953,/injections/inj_000007
inj_000008,1551564040,56,4,1,18.86899658217192,DET_FLUX,roche_boundary,0.22533124832870596,2840.8193968672854,2459840.8193968674,9.079579593364201,0.19561223312434728,0.9999999701976776,11775,11596,327,321,test,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551564040,/injections/inj_000008
inj_000009,1551614601,56,4,2,19.53053747457662,DET_FLUX,wd1856_like,1.2404137704019693,2838.8605854118236,2459838.860585412,5.551719476840924,0.4530444945036628,1.0,11775,11643,38,38,test,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551614601,/injections/inj_000009
inj_000010,1551324505,56,4,1,19.76349471474664,DET_FLUX,short_deep,0.6497844014165887,2838.2396043356684,2459838.2396043357,13.236138110702445,0.32309794557928084,1.0,11775,11705,160,156,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551324505,/injections/inj_000010
inj_000011,1551403978,56,4,1,19.04946341185881,DET_FLUX,roche_boundary,0.2548987698595999,2830.871398030878,2459830.871398031,13.87042916234602,0.11845913800394674,1.0,11775,11775,444,444,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551403978,/injections/inj_000011
inj_000012,1271336033,56,4,3,18.78238100972742,DET_FLUX,wd1856_like,1.2594431635059555,2839.4406603296648,2459839.4406603295,10.083346044227724,0.4107170204267741,1.0000000298023224,11775,11282,64,61,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001271336033,/injections/inj_000012
inj_000013,1551499757,56,4,1,19.75403905369379,DET_FLUX,short_deep,0.9833791361987035,2848.518893482137,2459848.518893482,18.414750179434904,0.2783181004077291,1.0,11775,11563,143,143,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551499757,/injections/inj_000013
inj_000014,1551416263,56,4,1,19.97750486408989,DET_FLUX,roche_boundary,0.31431768629587153,2838.8747372914436,2459838.8747372916,14.218186540565235,0.18829899309338735,1.0,11775,11631,376,372,test,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551416263,/injections/inj_000014
inj_000015,1551415980,56,4,1,19.09028989929267,DET_FLUX,wd1856_like,2.4767113426089287,2830.5628530113504,2459830.5628530113,9.927195843887638,0.2843707245984931,1.0,11775,11645,35,35,validation,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551415980,/injections/inj_000015
inj_000016,1551319757,56,4,1,18.34684331837833,DET_FLUX,short_deep,0.27636576157357257,2848.897975555847,2459848.8979755556,19.455075656739197,0.30119707378557425,1.0,11775,11743,578,578,train,planet_like,injection,/pdo/users/tehan/twirl_stage3/s56_twirlfs_v2_lc_export/s56_twirlfs_v2_lc_export_1000.h5,/targets/0000001551319757,/injections/inj_000016
